"Nickel Concentration g/l(p0)","Nickel Concentration g/l(p1)","Nickel Concentration g/l(p2)","Nickel Concentration g/l(p3)","Nickel Concentration g/l(p4)","Nickel Concentration g/l(p5)","Reducer (sodium hypophosphite) Concentration g/l(p0)","Reducer (sodium hypophosphite) Concentration g/l(p1)","Reducer (sodium hypophosphite) Concentration g/l(p2)","Complexing Agent Concentration g/l(p0)","Complexing Agent Concentration g/l(p1)","Complexing Agent Concentration g/l(p2)","Complexing Agent Concentration g/l(p3)","Complexing Agent Concentration g/l(p4)","pH(p0)","pH(p1)","pH(p2)","pH(p3)","pH(p4)","pH(p5)","pH(p6)","Temperature ?(p0)","Temperature ?(p1)","Temperature ?(p2)","Temperature ?(p3)","Temperature ?(p4)","Substrate(p0)","Substrate(p1)","Substrate(p2)","Deposition Rate ?m/h"
0.5,0.5,0.5,0.5,0.5,1,0.5,0.971404520791032,0.333333333333333,0.887298334620742,0.276393202250021,0.341886116991581,0.377525512860841,0.4,0.5,0.5,0.962910049886276,0.380477139066561,0.402409992705147,0.417521390115768,0.428571428571429,0.5,0.5,0.5,0.5,1,0.5,0.971404520791032,0.333333333333333,0
0.5,0.5,0.5,0.983045891539648,0.401398670281673,0.416666666666667,0.5,0.971404520791032,0.333333333333333,0.5,0.5,0.5,0.989897948556636,0.4,0.122035526990773,0.281782109764008,0.345696650037908,0.380477139066561,0.402409992705147,0.417521390115768,0.428571428571429,0.112701665379258,0.276393202250021,0.341886116991581,0.377525512860841,0.4,0.5,0.971404520791032,0.333333333333333,0.183303085299456
0.5,0.5,0.5,0.983045891539648,0.401398670281673,0.416666666666667,0.5,0.971404520791032,0.333333333333333,0.5,0.5,0.5,0.989897948556636,0.4,0.122035526990773,0.281782109764008,0.345696650037908,0.380477139066561,0.402409992705147,0.417521390115768,0.428571428571429,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.5,0.971404520791032,0.333333333333333,0.455535390199637
0.5,0.5,0.5,0.983045891539648,0.401398670281673,0.416666666666667,0.5,0.971404520791032,0.333333333333333,0.5,0.5,0.5,0.989897948556636,0.4,0.5,0.5,0.5,0.5,0.5,0.994871659305393,0.428571428571429,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.5,0.971404520791032,0.333333333333333,0.455535390199637
0.5,0.5,0.5,0.983045891539648,0.401398670281673,0.416666666666667,0.5,0.971404520791032,0.333333333333333,0.5,0.5,0.5,0.989897948556636,0.4,0.5,0.5,0.5,0.5,0.5,0.994871659305393,0.428571428571429,0.5,0.5,0.5,0.5,1,0.5,0.971404520791032,0.333333333333333,1
0.5,0.5,0.5,0.983045891539648,0.401398670281673,0.416666666666667,0.5,0.971404520791032,0.333333333333333,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,1,0.112701665379258,0.276393202250021,0.341886116991581,0.377525512860841,0.4,0.5,0.971404520791032,0.333333333333333,0.183303085299456
0.5,0.5,0.5,0.983045891539648,0.401398670281673,0.416666666666667,0.5,0.971404520791032,0.333333333333333,0.5,0.5,0.5,0.989897948556636,0.4,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.5,0.971404520791032,0.333333333333333,0.455535390199637
0.5,0.5,0.5,0.983045891539648,0.401398670281673,0.416666666666667,0.5,0.971404520791032,0.333333333333333,0.5,0.5,0.5,0.989897948556636,0.4,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,1,0.5,0.971404520791032,0.333333333333333,1
0.5,0.5,0.5,0.5,0.993006648591635,0.416666666666667,0.5,0.5,1,0.112701665379258,0.276393202250021,0.341886116991581,0.377525512860841,0.4,0.5,0.936435780471985,0.345696650037908,0.380477139066561,0.402409992705147,0.417521390115768,0.428571428571429,0.5,0.5,0.5,0.989897948556636,0.4,0.5,0.5,1,0.274047186932849
0.881881307912987,0.279520724077951,0.344097608884419,0.379238527115088,0.401398670281673,0.416666666666667,0.5,0.5,1,0.5,0.5,0.974341649025257,0.377525512860841,0.4,0.877964473009227,0.281782109764008,0.345696650037908,0.380477139066561,0.402409992705147,0.417521390115768,0.428571428571429,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.091751709536137,0.264297739604484,0.333333333333333,0.0471869328493648
